Trial,Cumulative Reward,Cumulative Regret
2414,9395.132190897972,260.8678091020203
2415,9397.609584336518,262.3904156634745
2416,9400.89146745815,263.1085325418427
2417,9404.490405406419,263.50959459357375
2418,9406.164743557008,265.83525644298487
2419,9410.33642742323,265.66357257676333
2420,9414.983555299199,265.01644470079435
2421,9417.86978032016,266.1302196798336
2422,9421.348018953895,266.6519810460978
2423,9425.216134643479,266.7838653565143
2424,9429.205819138953,266.79418086104
2425,9432.905465852464,267.0945341475302
2426,9434.993521298931,269.0064787010624
2427,9439.130788831162,268.86921116883127
2428,9442.668182084917,269.3318179150763
2429,9446.074188665285,269.9258113347087
2430,9449.361772963744,270.6382270362499
2431,9454.820491503813,269.17950849618177
2432,9457.656781532765,270.3432184672298
2433,9460.469537597162,271.53046240283226
2434,9462.105241774583,273.8947582254115
2435,9467.008462112633,272.99153788736083
2436,9471.57837299367,272.42162700632383
2437,9477.29195034243,270.7080496575654
2438,9482.035649080352,269.96435091964247
2439,9485.958672005465,270.04132799452964
2440,9489.662304303349,270.3376956966453
2441,9494.473974899436,269.5260251005579
2442,9497.69748314905,270.30251685094476
2443,9501.42666797653,270.57333202346507
2444,9505.903566179653,270.09643382034193
2445,9511.73155806506,268.2684419349354
2446,9516.360957372666,267.63904262732916
2447,9522.302041850371,265.69795814962345
2448,9525.136495362749,266.8635046372452
2449,9528.940667639044,267.05933236095046
2450,9533.607846938094,266.3921530619005
2451,9538.113393368729,265.88660663126626
2452,9542.168747979336,265.83125202065787
2453,9543.274459196135,268.7255408038602
2454,9546.432075863548,269.5679241364478
2455,9552.311188303196,267.6888116967992
2456,9554.832247280072,269.1677527199232
2457,9559.098451154052,268.901548845943
2458,9563.483061952993,268.5169380470012
2459,9568.068499571997,267.93150042799795
2460,9571.339323607566,268.6606763924287
2461,9574.807654160257,269.19234583973895
2462,9580.759833368644,267.2401666313524
2463,9584.70069987114,267.2993001288559
2464,9588.297804462578,267.70219553741845
2465,9592.636059837781,267.36394016221493
2466,9596.40940793587,267.5905920641275
2467,9601.407095954428,266.592904045569
2468,9604.87262593131,267.12737406868723
2469,9608.514245560473,267.48575443952376
2470,9613.417576684977,266.58242331501935
2471,9617.423631397702,266.576368602294
2472,9621.95324168444,266.0467583155568
2473,9627.126024613128,264.87397538686815
2474,9633.795298601803,262.2047013981926
2475,9638.38049408381,261.61950591618455
2476,9643.370651696332,260.629348303664
2477,9646.36165429868,261.6383457013154
2478,9650.93142973534,261.0685702646558
2479,9655.47618154753,260.5238184524641
2480,9659.5689525871,260.43104741289335
2481,9662.28141593343,261.7185840665631
2482,9666.666111481909,261.33388851808485
2483,9670.134720022052,261.8652799779423
2484,9673.79257883355,262.20742116644425
2485,9676.535364319752,263.46463568024217
2486,9679.802876144659,264.1971238553364
2487,9683.692734733924,264.307265266071
2488,9688.083549267421,263.9164507325736
